"Age","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
0,83556,84060,84380,84789,85662,85782,86942,87539,87627,87083,87474,87369,88111,88072,88247,87333,88375,88420,88466,87786,89474,89313,88241,89156,88620,89196,89941,90044,89432,90024,90278,90735,91461,91086,91808,90718,92670,92696,92862,93359,93787,93818,93121,93438,93334,94101,94698,94970,94969,95210,95260,95372,95382,95493,95555,95775,95640,95819,95839,95855,95891,95998,96207,96128,95880,96086,96346,96283,96165,96263,96426,96396,96629,96821,96999,97166,97182,97199,97418,97504,97521,97735,97823,97757,97851,97819,97847,97882,98021,98249,98300,98200,98428,98472,98444,98544,98684,98678,98725,98928,98933,99074,99112,99144,99078,99245,99291,99266,99300,99337,99326,99349,99287,99300,99353,99372,99354,99506,99502,99514,99538,99588,99524,99539,99536,99530,99581,99616,99579,99589,99582,99649,99629,99576,99686,99643,99672,99622,99610,99604,99712
1,75191,75473,76118,76972,78093,78028,79892,80977,81052,80111,80745,80705,81813,81531,81922,80522,82277,82204,82200,81426,83896,83727,82102,83547,82464,83460,84715,84875,83830,84727,85163,85819,87023,86398,87417,85926,88833,88775,89105,89806,90475,90542,89329,89961,89684,91012,92109,92719,92736,93150,93281,93500,93422,93733,93865,94225,94023,94421,94384,94368,94486,94637,95042,94916,94351,94905,95300,95204,95029,95186,95452,95428,95758,96049,96323,96529,96567,96627,96913,97024,97044,97303,97463,97365,97478,97465,97489,97550,97699,97969,98012,97915,98150,98197,98176,98292,98437,98447,98493,98720,98730,98886,98937,98978,98903,99088,99138,99100,99148,99189,99187,99211,99138,99150,99205,99249,99235,99406,99389,99403,99440,99491,99421,99439,99440,99435,99498,99539,99485,99499,99497,99581,99560,99501,99625,99576,99607,99551,99535,99526,99660
2,73124,72826,73668,74962,75879,75507,77606,79122,79156,77994,78775,78863,80038,79433,79974,78440,80604,80323,80202,79799,82390,82236,80482,82086,80672,81828,83319,83561,82266,83273,83790,84458,85857,85148,86144,84733,87806,87622,88092,88752,89535,89548,88017,88942,88562,90158,91374,92051,92060,92416,92625,92795,92640,93077,93247,93610,93406,93944,93807,93790,93917,94068,94569,94436,93696,94525,94912,94806,94643,94803,95081,95102,95425,95740,96060,96232,96326,96408,96693,96806,96837,97077,97301,97190,97304,97313,97329,97401,97554,97837,97876,97794,98028,98068,98068,98174,98323,98341,98393,98625,98651,98817,98859,98911,98832,99016,99048,99021,99083,99118,99124,99157,99073,99089,99147,99200,99194,99372,99332,99357,99396,99447,99383,99399,99408,99393,99458,99514,99450,99465,99473,99563,99540,99487,99610,99558,99585,99532,99520,99506,99650
3,71950,71359,72226,73766,74535,74093,76122,78018,78076,76846,77770,77901,79092,78297,78900,77247,79664,79273,79064,78995,81621,81447,79658,81293,79806,80997,82633,82858,81487,82544,83119,83798,85228,84539,85504,84124,87274,87054,87557,88207,89036,89001,87251,88371,87936,89707,90955,91693,91675,92035,92285,92362,92252,92692,92871,93275,93038,93632,93461,93475,93561,93730,94263,94134,93366,94274,94675,94540,94387,94547,94814,94861,95231,95538,95902,96037,96182,96263,96552,96664,96703,96927,97165,97072,97178,97198,97211,97253,97454,97723,97772,97706,97937,97979,97994,98073,98236,98264,98309,98553,98593,98762,98788,98861,98781,98961,98990,98975,99034,99069,99083,99127,99028,99061,99118,99163,99155,99348,99296,99329,99366,99421,99363,99375,99388,99361,99423,99495,99429,99450,99458,99549,99521,99468,99598,99543,99567,99520,99512,99492,99644
4,71158,70249,71155,72906,73505,73051,74954,77177,77283,75961,77007,77213,78398,77466,78142,76347,78960,78480,78212,78419,81018,80893,79116,80759,79228,80411,82209,82341,80947,82021,82623,83318,84788,84066,85047,83690,86884,86632,87168,87809,88675,88643,86682,87953,87411,89398,90621,91421,91402,91770,92017,92051,91926,92425,92591,93015,92761,93376,93212,93221,93317,93474,94035,93933,93142,94042,94478,94336,94175,94354,94629,94656,95102,95398,95785,95899,96053,96152,96443,96554,96586,96807,97055,96974,97061,97104,97118,97124,97376,97637,97685,97640,97850,97906,97924,97987,98151,98209,98236,98493,98543,98702,98725,98822,98747,98909,98960,98936,98992,99038,99049,99097,98997,99033,99080,99139,99126,99322,99271,99303,99344,99391,99344,99356,99366,99338,99407,99479,99411,99437,99444,99537,99509,99455,99585,99536,99557,99505,99507,99483,99639
5,70557,69380,70349,72237,72769,72234,74125,76578,76647,75289,76445,76668,77852,76834,77550,75680,78417,77846,77556,77951,80539,80478,78714,80295,78838,79916,81844,81961,80513,81647,82231,82933,84459,83671,84687,83345,86559,86263,86879,87484,88401,88317,86223,87603,87047,89127,90362,91186,91183,91546,91806,91814,91633,92208,92367,92797,92546,93156,93011,92994,93127,93251,93858,93782,92974,93847,94305,94195,93973,94174,94491,94476,94971,95278,95689,95792,95946,96037,96340,96447,96493,96703,96966,96901,96971,97022,97041,97040,97296,97563,97604,97562,97778,97824,97850,97916,98077,98146,98177,98445,98501,98655,98670,98789,98705,98868,98921,98901,98960,99014,99014,99072,98972,99009,99056,99118,99100,99291,99247,99282,99316,99370,99326,99333,99346,99323,99389,99466,99401,99422,99432,99529,99501,99447,99572,99526,99551,99488,99505,99476,99631
6,70053,68731,69753,71689,72210,71621,73537,76129,76100,74813,76010,76230,77394,76288,77045,75164,78001,77315,77035,77575,80148,80124,78360,79897,78505,79515,81544,81644,80185,81332,81943,82608,84188,83372,84407,83068,86310,85969,86631,87245,88130,88049,85822,87305,86729,88878,90159,90953,90988,91357,91606,91599,91415,91993,92168,92598,92376,92953,92837,92791,92955,93054,93709,93652,92801,93705,94172,94062,93802,94010,94356,94312,94842,95169,95625,95692,95856,95951,96266,96360,96423,96621,96882,96858,96906,96949,96961,96977,97223,97492,97532,97486,97715,97744,97781,97853,98014,98088,98120,98405,98463,98615,98602,98755,98656,98840,98888,98866,98926,98986,98993,99050,98939,98989,99042,99095,99074,99261,99227,99264,99291,99359,99309,99314,99332,99321,99377,99451,99391,99404,99419,99519,99492,99438,99563,99516,99546,99476,99503,99468,99627
7,69620,68163,69243,71285,71711,71115,73104,75758,75682,74420,75648,75890,76998,75804,76607,74697,77657,76872,76598,77267,79828,79810,78076,79613,78200,79205,81266,81394,79918,81045,81693,82315,83944,83101,84156,82846,86082,85728,86421,87033,87897,87837,85473,87025,86418,88641,89977,90741,90826,91192,91422,91390,91233,91776,91986,92420,92224,92754,92669,92621,92807,92873,93562,93536,92651,93576,94042,93928,93658,93888,94235,94186,94722,95064,95558,95592,95789,95887,96203,96285,96345,96552,96804,96803,96842,96889,96893,96916,97169,97443,97469,97417,97654,97688,97721,97788,97954,98035,98067,98359,98414,98579,98544,98724,98614,98809,98863,98834,98897,98958,98974,99020,98905,98969,99027,99064,99057,99228,99204,99245,99276,99345,99295,99300,99322,99313,99370,99439,99379,99391,99407,99506,99478,99433,99559,99506,99537,99465,99499,99457,99622
8,69288,67686,68804,70936,71325,70690,72746,75443,75324,74067,75341,75625,76648,75419,76216,74282,77358,76532,76243,77003,79532,79530,77838,79365,77930,78927,81018,81176,79654,80800,81477,82079,83709,82855,83905,82641,85871,85536,86235,86827,87701,87631,85202,86772,86174,88430,89800,90545,90675,91039,91281,91215,91069,91572,91820,92279,92080,92598,92510,92474,92674,92718,93421,93399,92514,93452,93910,93794,93489,93783,94129,94070,94607,94974,95483,95521,95732,95805,96132,96219,96269,96490,96733,96740,96793,96849,96840,96861,97116,97406,97415,97353,97602,97640,97653,97739,97903,97987,98027,98315,98360,98542,98507,98688,98576,98775,98841,98797,98875,98935,98956,98998,98885,98955,99008,99028,99043,99196,99178,99227,99259,99334,99283,99285,99313,99291,99361,99430,99369,99384,99393,99494,99462,99425,99553,99491,99528,99458,99492,99450,99615
9,68970,67325,68463,70601,70995,70360,72409,75164,75022,73752,75064,75390,76343,75097,75874,73945,77082,76254,75970,76779,79265,79260,77592,79138,77707,78665,80814,80965,79420,80584,81277,81871,83504,82663,83686,82445,85694,85388,86060,86652,87500,87425,84943,86559,85970,88253,89641,90370,90518,90866,91128,91074,90903,91391,91681,92151,91938,92483,92361,92360,92535,92594,93307,93266,92364,93358,93798,93667,93354,93689,94012,93945,94517,94908,95423,95476,95673,95730,96072,96161,96199,96433,96670,96695,96748,96803,96784,96807,97068,97355,97375,97298,97549,97589,97600,97694,97859,97945,97995,98281,98317,98505,98472,98654,98548,98747,98820,98760,98855,98918,98938,98978,98868,98939,98980,99001,99026,99176,99156,99214,99243,99320,99269,99279,99296,99274,99351,99418,99362,99373,99378,99484,99452,99412,99547,99478,99526,99453,99482,99445,99611
