"Age","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
0,86545,86885,87086,87755,88424,88281,89405,89683,90072,89474,89751,89761,90492,90079,90543,89873,90900,90534,90705,90328,91670,91061,90508,91453,90845,91520,91908,91815,91331,92121,92192,92655,93411,93010,93494,92590,94075,94175,94495,94824,95247,95371,94562,94915,94866,95557,95726,96114,96078,96118,96279,96307,96467,96517,96551,96663,96507,96727,96920,96760,96814,96740,96913,97050,96827,96874,97190,97167,97018,97059,97189,97241,97428,97525,97739,97830,97843,97841,97954,97986,98062,98270,98336,98388,98402,98380,98318,98415,98529,98619,98706,98710,98726,98782,98859,98963,99039,99031,99086,99228,99184,99224,99406,99369,99326,99454,99379,99443,99458,99476,99477,99458,99503,99424,99447,99536,99538,99550,99613,99617,99651,99598,99659,99671,99617,99637,99640,99649,99683,99684,99659,99662,99677,99673,99642,99697,99677,99701,99697,99712,99676
1,78849,79099,79460,80738,81614,81155,82993,83657,84177,83228,83597,83827,84952,84018,84936,83853,85588,85001,85075,84769,86837,85986,85051,86543,85384,86562,87246,87073,86209,87464,87629,88420,89599,88864,89617,88335,90706,90743,91292,91772,92516,92592,91156,91876,91700,93099,93486,94348,94290,94317,94635,94694,94954,95102,95201,95368,95126,95546,95871,95532,95710,95565,95867,96093,95625,95860,96341,96318,96056,96156,96355,96472,96751,96869,97184,97310,97347,97368,97516,97528,97663,97913,98020,98082,98110,98098,97985,98132,98266,98374,98443,98481,98494,98550,98656,98763,98851,98849,98900,99081,99022,99075,99273,99235,99192,99319,99258,99319,99324,99360,99360,99347,99392,99310,99336,99430,99430,99438,99528,99536,99580,99509,99586,99597,99539,99556,99569,99580,99602,99619,99586,99585,99619,99603,99577,99641,99617,99644,99638,99649,99618
2,76625,76395,76887,78616,79366,78494,80638,81732,82181,81081,81451,82013,83227,81802,83016,81814,83925,83198,83100,83169,85279,84556,83479,85083,83616,85012,85852,85636,84604,85976,86251,87169,88450,87539,88361,87121,89740,89673,90300,90789,91691,91656,89712,90862,90462,92370,92760,93754,93702,93641,93983,94036,94258,94505,94669,94817,94599,95080,95412,94991,95290,95094,95441,95696,95069,95535,95961,96003,95703,95833,96018,96192,96495,96577,96955,97085,97154,97191,97339,97326,97526,97746,97899,97930,97958,97992,97841,98025,98154,98277,98319,98386,98393,98450,98583,98672,98766,98781,98817,99023,98946,99025,99197,99175,99144,99260,99217,99266,99250,99302,99297,99302,99347,99276,99300,99367,99381,99383,99485,99509,99549,99478,99557,99569,99515,99525,99552,99556,99565,99602,99565,99555,99608,99579,99561,99626,99607,99632,99626,99627,99607
3,75466,74834,75423,77429,78079,76911,79258,80621,81010,79878,80325,81000,82293,80630,81946,80629,82995,82120,82010,82369,84424,83834,82693,84274,82787,84162,85147,84943,83862,85237,85571,86563,87865,86894,87758,86536,89242,89166,89799,90308,91211,91172,88859,90315,89782,91941,92361,93415,93373,93259,93617,93630,93854,94126,94375,94476,94280,94746,95119,94681,95035,94790,95162,95470,94791,95308,95697,95774,95483,95616,95783,95992,96322,96390,96814,96940,97038,97062,97216,97214,97439,97649,97819,97827,97845,97903,97766,97948,98083,98207,98259,98314,98316,98384,98521,98602,98702,98733,98766,98960,98888,98996,99142,99133,99114,99227,99190,99231,99207,99263,99250,99265,99320,99251,99278,99330,99363,99348,99457,99497,99517,99458,99542,99548,99500,99510,99533,99542,99547,99593,99554,99547,99594,99567,99549,99609,99598,99623,99618,99617,99595
4,74656,73727,74308,76569,77067,75745,78179,79775,80124,79034,79562,80260,81616,79830,81183,79741,82282,81319,81180,81793,83835,83342,82101,83657,82229,83555,84695,84477,83326,84692,85077,86161,87447,86441,87330,86119,88901,88793,89437,89950,90846,90820,88278,89891,89298,91606,92095,93162,93116,92988,93347,93343,93574,93856,94147,94221,94046,94503,94912,94462,94852,94563,94958,95303,94600,95115,95515,95577,95282,95455,95620,95862,96207,96279,96706,96835,96945,96979,97122,97132,97368,97567,97737,97758,97787,97819,97700,97875,98016,98144,98196,98255,98254,98327,98462,98540,98653,98679,98718,98912,98858,98966,99109,99099,99087,99190,99164,99201,99182,99240,99218,99237,99297,99231,99254,99310,99355,99320,99440,99488,99497,99441,99531,99529,99490,99490,99508,99530,99533,99582,99541,99543,99585,99560,99543,99598,99589,99616,99604,99611,99585
5,74029,72890,73427,75895,76280,74920,77322,79135,79472,78373,79006,79715,81074,79194,80578,79093,81720,80690,80516,81326,83331,82929,81621,83147,81781,83108,84327,84105,82878,84261,84690,85821,87113,86077,86978,85818,88604,88479,89131,89638,90556,90517,87811,89568,88885,91312,91885,92959,92906,92770,93116,93123,93339,93639,93946,94018,93860,94318,94736,94277,94681,94374,94802,95161,94434,94955,95371,95432,95115,95342,95488,95752,96116,96187,96630,96750,96860,96906,97044,97068,97319,97504,97685,97710,97747,97744,97631,97809,97961,98092,98131,98196,98204,98285,98414,98482,98614,98636,98668,98876,98836,98933,99077,99059,99058,99158,99140,99179,99158,99214,99196,99224,99279,99217,99234,99287,99346,99303,99429,99476,99484,99428,99516,99520,99482,99477,99492,99515,99525,99571,99529,99533,99575,99553,99533,99594,99585,99608,99597,99607,99580
6,73514,72259,72787,75372,75696,74310,76713,78615,78938,77871,78571,79281,80625,78651,80094,78592,81278,80161,79936,80928,82912,82587,81252,82760,81388,82723,84007,83805,82522,83907,84397,85499,86837,85776,86676,85568,88341,88224,88895,89400,90274,90250,87389,89267,88525,91051,91686,92771,92729,92592,92921,92943,93114,93407,93786,93826,93697,94151,94586,94106,94506,94216,94676,95039,94302,94820,95245,95322,94982,95236,95373,95637,96042,96107,96572,96678,96796,96836,96989,97021,97270,97463,97642,97665,97706,97686,97571,97747,97927,98045,98080,98139,98152,98245,98370,98436,98570,98599,98634,98834,98809,98897,99040,99022,99033,99126,99122,99148,99137,99188,99181,99218,99260,99201,99223,99266,99337,99281,99421,99463,99471,99413,99505,99513,99470,99472,99476,99508,99513,99558,99519,99521,99564,99541,99523,99586,99581,99603,99593,99597,99574
7,73109,71726,72278,74954,75209,73810,76222,78174,78479,77480,78158,78913,80257,78232,79665,78169,80925,79748,79466,80628,82590,82297,80958,82480,81075,82385,83727,83522,82205,83592,84172,85209,86600,85541,86445,85308,88120,88016,88706,89191,90028,90014,86992,88979,88225,90845,91502,92612,92591,92448,92771,92790,92898,93231,93630,93671,93544,94015,94438,93970,94361,94074,94566,94913,94187,94719,95138,95229,94875,95117,95279,95535,95976,96040,96515,96623,96745,96781,96946,96984,97222,97414,97597,97612,97672,97649,97527,97697,97894,98007,98039,98105,98103,98207,98321,98400,98525,98554,98603,98801,98789,98859,99008,98995,99015,99102,99101,99120,99124,99171,99169,99204,99241,99188,99214,99250,99326,99265,99408,99449,99463,99404,99496,99502,99457,99463,99460,99503,99500,99544,99512,99514,99560,99530,99517,99578,99569,99596,99587,99586,99569
8,72784,71231,71812,74605,74791,73401,75802,77788,78102,77135,77786,78590,79933,77870,79282,77805,80585,79378,79065,80387,82302,82026,80706,82229,80792,82084,83461,83269,81914,83310,83936,84972,86369,85339,86249,85059,87927,87809,88542,88989,89833,89804,86656,88746,87971,90658,91340,92452,92478,92314,92627,92647,92716,93090,93473,93531,93425,93894,94305,93836,94226,93936,94441,94801,94072,94605,95042,95143,94790,94983,95184,95463,95914,95985,96460,96567,96702,96734,96903,96953,97175,97368,97570,97566,97641,97619,97492,97663,97858,97979,98002,98079,98067,98175,98283,98365,98489,98524,98572,98777,98766,98830,98985,98976,98998,99083,99071,99100,99112,99159,99158,99188,99228,99181,99199,99237,99309,99251,99395,99438,99455,99394,99489,99491,99452,99448,99455,99495,99491,99537,99506,99509,99557,99523,99516,99570,99555,99589,99582,99581,99567
9,72488,70846,71414,74299,74426,73057,75467,77436,77784,76820,77479,78304,79653,77548,78962,77522,80245,79054,78718,80147,82048,81753,80495,81969,80532,81816,83220,83047,81674,83053,83702,84781,86152,85148,86057,84851,87749,87608,88392,88808,89647,89634,86346,88525,87746,90456,91205,92301,92368,92189,92495,92525,92567,92927,93332,93390,93313,93788,94191,93712,94106,93824,94330,94708,93960,94491,94938,95053,94696,94873,95084,95389,95852,95937,96415,96513,96667,96695,96860,96916,97139,97334,97543,97528,97613,97592,97466,97634,97830,97960,97970,98051,98040,98146,98253,98328,98457,98507,98550,98753,98739,98802,98967,98962,98979,99067,99048,99082,99098,99138,99146,99163,99218,99166,99175,99222,99289,99237,99385,99424,99443,99382,99484,99480,99449,99438,99450,99486,99477,99535,99496,99502,99552,99514,99510,99558,99545,99583,99579,99575,99559
