"1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"60",0.0398,0.02909,0.02723,0.03587,0.03661,0.03621,0.03515,0.03234,0.03117,0.03251,0.03212,0.0332,0.03237,0.03259,0.03475,0.03494,0.02974,0.03378,0.03265,0.03208,0.02786,0.02779,0.0253,0.02637,0.03172,0.02833,0.02755,0.02473,0.02716,0.03009,0.02736,0.02722,0.02529,0.02557,0.0267,0.02546,0.02495,0.0257,0.02175,0.022,0.0238,0.02524,0.02516,0.02432,0.02442,0.02169,0.02317,0.02384,0.0232,0.0212,0.0203,0.02134,0.01906,0.02052,0.01919,0.01808,0.01951,0.01917,0.018,0.0192,0.01787,0.01583,0.01673,0.01796,0.01622,0.01435,0.01486,0.01493,0.01519,0.01418,0.01496,0.01348,0.01425,0.01376,0.0117,0.0128,0.01253,0.01184,0.01325,0.01166,0.01111,0.01237,0.01061,0.01015,0.01039,0.00945,0.00947,0.0104,0.00971,0.01099,0.0083,0.00992,0.00767,0.00966,0.00771,0.00801,0.00798,0.00805,0.00786,0.00664,0.00723,0.00655,0.00699,0.00615,0.00734,0.00652,0.00569,0.00588,0.00599,0.00619,0.0058,0.00587,0.0061,0.00526,0.00531,0.00516,0.00482,0.00529,0.0057,0.00523,0.00477,0.00436,0.00444,0.005,0.00466,0.00446,0.00479,0.00478,0.00413,0.00491,0.00363,0.00464,0.00467,0.00403,0.00408,0.00382,0.00411,0.00414,0.00343,0.00404,0.00384
"61",0.0386,0.03791,0.0325,0.03276,0.0352,0.03792,0.03688,0.03594,0.03419,0.03551,0.03718,0.0344,0.03581,0.03371,0.03677,0.03762,0.03237,0.03602,0.03469,0.03656,0.03332,0.02932,0.0311,0.03214,0.03444,0.03162,0.02975,0.03377,0.03146,0.03125,0.02956,0.02971,0.02454,0.02483,0.02793,0.03011,0.0277,0.02675,0.02514,0.02675,0.02154,0.02759,0.0328,0.02686,0.02477,0.02292,0.02445,0.02066,0.02388,0.02434,0.02147,0.02413,0.02219,0.02228,0.0202,0.02073,0.02008,0.01792,0.01947,0.02154,0.02002,0.01855,0.0176,0.01932,0.01815,0.01825,0.01703,0.01472,0.01559,0.01721,0.01752,0.01717,0.01712,0.01513,0.01397,0.01506,0.0122,0.01185,0.01232,0.01292,0.01298,0.01276,0.01213,0.01164,0.01188,0.01098,0.01016,0.01152,0.01007,0.01026,0.01009,0.01006,0.00994,0.01006,0.0087,0.00899,0.00838,0.00856,0.00809,0.00743,0.00751,0.00736,0.00743,0.0082,0.00725,0.00796,0.00648,0.00725,0.00718,0.00601,0.00604,0.00529,0.00575,0.00562,0.00612,0.00565,0.00631,0.0054,0.00531,0.00589,0.00514,0.00479,0.00542,0.00507,0.00552,0.00547,0.005,0.00468,0.00509,0.0045,0.00524,0.00465,0.00475,0.00469,0.00457,0.00453,0.0044,0.00461,0.00406,0.00395,0.004
"62",0.04264,0.03766,0.03639,0.03747,0.02927,0.03659,0.04507,0.04218,0.03717,0.03959,0.03938,0.03498,0.03783,0.0347,0.03837,0.03332,0.03427,0.0379,0.03621,0.03496,0.0362,0.03433,0.03168,0.03276,0.0341,0.03683,0.03315,0.03549,0.03142,0.03478,0.03289,0.03313,0.03235,0.02927,0.02617,0.03137,0.02835,0.03088,0.02855,0.02782,0.0266,0.02671,0.03128,0.0307,0.02798,0.02619,0.02935,0.02398,0.02543,0.02521,0.02513,0.02381,0.02601,0.02483,0.02218,0.02277,0.02251,0.01984,0.02284,0.02292,0.02093,0.02051,0.02075,0.01999,0.02027,0.01926,0.01773,0.01791,0.01841,0.01846,0.0192,0.01611,0.01588,0.01825,0.0153,0.01526,0.01429,0.01535,0.01503,0.01497,0.0137,0.01258,0.01334,0.01347,0.01218,0.01274,0.01216,0.01182,0.01204,0.01264,0.0113,0.01107,0.01105,0.00979,0.0096,0.00944,0.00983,0.00837,0.00822,0.00832,0.00808,0.00817,0.00764,0.00875,0.00824,0.00818,0.00776,0.00752,0.0081,0.00695,0.00654,0.00617,0.0072,0.00651,0.00692,0.00615,0.00641,0.00666,0.00588,0.00628,0.00566,0.00592,0.00565,0.00556,0.00621,0.00582,0.00556,0.00556,0.00445,0.00527,0.00485,0.00487,0.00525,0.00472,0.00484,0.00533,0.00407,0.0046,0.00457,0.00436,0.00429
"63",0.04623,0.04049,0.04268,0.04748,0.04301,0.03286,0.04369,0.04503,0.03927,0.04337,0.04282,0.04085,0.04142,0.04186,0.04348,0.03948,0.04037,0.0452,0.04308,0.03923,0.03725,0.03652,0.03925,0.03386,0.04163,0.03981,0.03459,0.03959,0.03743,0.03737,0.03313,0.03333,0.03593,0.0402,0.03228,0.03292,0.03389,0.03496,0.03195,0.03115,0.0325,0.03241,0.03321,0.03276,0.03389,0.02599,0.02869,0.02972,0.0305,0.02551,0.02667,0.03106,0.0254,0.02776,0.02623,0.02663,0.02501,0.02433,0.02227,0.0242,0.02197,0.02368,0.02444,0.02265,0.02111,0.02133,0.01946,0.02012,0.02179,0.0188,0.01973,0.02032,0.01782,0.01818,0.01552,0.01767,0.01763,0.01566,0.01569,0.01456,0.0159,0.01561,0.01381,0.01311,0.01403,0.01246,0.01407,0.01306,0.01199,0.01305,0.01287,0.01211,0.01213,0.0121,0.01175,0.01119,0.01037,0.01131,0.01012,0.00988,0.0093,0.00883,0.00959,0.009,0.00912,0.00946,0.00854,0.00765,0.00806,0.0077,0.00738,0.00784,0.00664,0.00727,0.00669,0.00704,0.00698,0.00687,0.00645,0.00691,0.00703,0.00616,0.00579,0.006,0.00681,0.00543,0.0061,0.00582,0.00543,0.00544,0.00594,0.00525,0.00608,0.00548,0.00575,0.00507,0.00519,0.00464,0.00471,0.00421,0.00461
"64",0.05292,0.04644,0.04995,0.04925,0.04714,0.04034,0.03465,0.04542,0.04737,0.04719,0.04809,0.04681,0.04471,0.0448,0.04942,0.0437,0.04232,0.04471,0.04577,0.04529,0.03898,0.03825,0.04028,0.03944,0.04182,0.0371,0.03651,0.04208,0.04014,0.04041,0.03769,0.04024,0.04085,0.04115,0.03709,0.03723,0.03069,0.03806,0.03668,0.03453,0.03294,0.03719,0.03638,0.03594,0.0313,0.02992,0.03188,0.0296,0.0326,0.03188,0.02972,0.03105,0.03027,0.03225,0.02923,0.02926,0.02845,0.02748,0.02659,0.02758,0.02354,0.02364,0.02601,0.02677,0.02592,0.02207,0.02007,0.02108,0.0245,0.02206,0.02193,0.02354,0.02231,0.01955,0.01927,0.02122,0.02035,0.01737,0.01542,0.0177,0.01844,0.019,0.01492,0.01577,0.01625,0.0139,0.01611,0.01488,0.01368,0.01545,0.01262,0.01334,0.01291,0.0129,0.01302,0.01205,0.01134,0.01133,0.01204,0.00964,0.01077,0.00983,0.01043,0.00957,0.00933,0.00991,0.00869,0.00894,0.00889,0.00856,0.00931,0.00804,0.00772,0.00714,0.009,0.00773,0.00706,0.00737,0.00774,0.00626,0.00716,0.0074,0.00599,0.00621,0.00671,0.00629,0.00631,0.00629,0.00588,0.00599,0.00596,0.00621,0.00547,0.00558,0.00574,0.00505,0.00611,0.00543,0.00489,0.00546,0.00514
"65",0.05003,0.05282,0.05433,0.05176,0.04801,0.04833,0.04504,0.03532,0.04647,0.05384,0.04471,0.04846,0.05152,0.0507,0.05237,0.04931,0.04757,0.05083,0.04842,0.04991,0.04449,0.04114,0.03836,0.04587,0.04911,0.04197,0.04366,0.04189,0.04202,0.04775,0.04315,0.04628,0.0415,0.04509,0.03916,0.04132,0.03769,0.03866,0.04131,0.03756,0.03718,0.03839,0.04108,0.03661,0.03622,0.03519,0.03808,0.03166,0.03327,0.03554,0.03216,0.03579,0.03187,0.03226,0.02966,0.03161,0.03421,0.03006,0.02962,0.02978,0.02438,0.02679,0.02758,0.02882,0.03262,0.02567,0.02351,0.02368,0.02552,0.02863,0.02559,0.0239,0.02398,0.02297,0.02002,0.02219,0.02015,0.01925,0.02016,0.01997,0.0198,0.0176,0.01871,0.01639,0.0171,0.01652,0.01702,0.0165,0.01453,0.01619,0.01639,0.01483,0.01473,0.01551,0.01344,0.01362,0.01141,0.01274,0.0118,0.01192,0.01097,0.01066,0.01201,0.0099,0.01142,0.00978,0.0099,0.00983,0.00943,0.01074,0.00878,0.01035,0.00954,0.00854,0.00838,0.00908,0.00923,0.00856,0.00814,0.00872,0.0073,0.0077,0.00721,0.00708,0.00703,0.00695,0.00691,0.007,0.00691,0.00681,0.00663,0.00606,0.00618,0.00641,0.006,0.00633,0.00624,0.0064,0.00555,0.0059,0.00589
"66",0.06186,0.05964,0.06225,0.05534,0.05094,0.05013,0.06521,0.04906,0.04227,0.05798,0.05767,0.06159,0.0519,0.05485,0.05672,0.0498,0.05256,0.05623,0.05279,0.0511,0.0477,0.04929,0.04591,0.04507,0.05427,0.05238,0.04542,0.04774,0.04682,0.04819,0.051,0.04695,0.04669,0.05068,0.045,0.04737,0.04437,0.0436,0.04227,0.04354,0.03983,0.0415,0.04483,0.04556,0.04693,0.03748,0.04217,0.03703,0.03774,0.0378,0.03549,0.03765,0.03771,0.03925,0.03492,0.03494,0.03496,0.03295,0.03282,0.03554,0.03138,0.02971,0.03156,0.02889,0.03203,0.02957,0.02608,0.02658,0.02746,0.0276,0.02755,0.02699,0.02361,0.02528,0.02477,0.02325,0.02212,0.02244,0.02367,0.02215,0.02091,0.02034,0.01921,0.01746,0.01868,0.01739,0.02013,0.0188,0.01774,0.01927,0.01683,0.0163,0.01633,0.01822,0.01568,0.01414,0.01459,0.01538,0.01318,0.01406,0.01316,0.0112,0.01298,0.01137,0.0126,0.01106,0.01116,0.01095,0.01008,0.0114,0.01012,0.01109,0.0098,0.00961,0.00924,0.00912,0.0087,0.0101,0.00994,0.00787,0.00793,0.00854,0.00789,0.0081,0.00814,0.00786,0.00742,0.00811,0.00764,0.00762,0.00643,0.00676,0.00721,0.00747,0.00677,0.00714,0.00622,0.00607,0.00683,0.00735,0.00663
"67",0.06608,0.0574,0.06091,0.06806,0.06171,0.05841,0.0617,0.06371,0.05665,0.04596,0.05886,0.06185,0.06078,0.05431,0.06891,0.05905,0.0566,0.06326,0.06181,0.06015,0.05303,0.05324,0.05159,0.0517,0.06194,0.0509,0.05251,0.05799,0.0499,0.04789,0.05009,0.05557,0.05266,0.05023,0.04645,0.0511,0.04891,0.0457,0.0477,0.0465,0.04549,0.04659,0.05223,0.0494,0.04778,0.03884,0.04602,0.04125,0.04592,0.04088,0.04151,0.04388,0.04185,0.0384,0.03868,0.03818,0.03901,0.03754,0.03588,0.03933,0.03671,0.0333,0.03566,0.03282,0.03481,0.02927,0.03086,0.031,0.02984,0.03107,0.03042,0.02942,0.02839,0.03002,0.02636,0.02601,0.02367,0.02562,0.0232,0.02435,0.02387,0.02647,0.02064,0.02109,0.0213,0.01899,0.01928,0.02149,0.02123,0.01752,0.01965,0.01754,0.01794,0.01935,0.01724,0.01695,0.0163,0.01564,0.01469,0.01469,0.01576,0.01335,0.0127,0.0138,0.01261,0.01196,0.01165,0.01244,0.01221,0.01131,0.01213,0.01094,0.01074,0.01028,0.01103,0.01037,0.01034,0.00964,0.00955,0.00998,0.0096,0.00924,0.00821,0.00875,0.00947,0.00886,0.00842,0.00848,0.00763,0.00704,0.00754,0.00754,0.00701,0.0076,0.00755,0.00708,0.00754,0.00746,0.00733,0.00668,0.00753
"68",0.07698,0.06886,0.06776,0.06939,0.07078,0.07019,0.0717,0.06722,0.06424,0.06235,0.04772,0.06488,0.07287,0.06565,0.06493,0.06398,0.05904,0.06079,0.06052,0.0645,0.0589,0.05509,0.06365,0.06092,0.06873,0.05645,0.05339,0.05892,0.05817,0.06028,0.04939,0.05903,0.05964,0.05539,0.05538,0.05512,0.05025,0.0592,0.0546,0.05199,0.04778,0.05363,0.0585,0.0551,0.05159,0.04916,0.05042,0.04041,0.04454,0.04701,0.03888,0.0467,0.0443,0.04557,0.04045,0.04707,0.04379,0.0424,0.04156,0.03994,0.03985,0.04074,0.041,0.03908,0.0352,0.03513,0.03387,0.0337,0.03569,0.03609,0.03485,0.03316,0.03259,0.03249,0.02972,0.03105,0.02945,0.02833,0.02682,0.02746,0.0277,0.02535,0.02592,0.02412,0.0247,0.02337,0.02416,0.02306,0.02351,0.02309,0.02416,0.02197,0.02076,0.01962,0.02039,0.01886,0.01879,0.01634,0.01733,0.0155,0.01536,0.01609,0.01497,0.01463,0.01469,0.01417,0.01269,0.01365,0.01319,0.01244,0.01225,0.01332,0.0127,0.01217,0.01191,0.01236,0.01164,0.01094,0.01089,0.01048,0.01019,0.01047,0.00985,0.01004,0.0095,0.00956,0.00863,0.00845,0.00847,0.00817,0.00866,0.00841,0.00876,0.00811,0.00751,0.00842,0.00855,0.00833,0.00755,0.00795,0.00692
"69",0.07523,0.06917,0.07072,0.08156,0.07182,0.07346,0.06349,0.06907,0.06844,0.0735,0.06825,0.05742,0.07486,0.07014,0.07276,0.07422,0.07071,0.06842,0.07637,0.06927,0.06049,0.06173,0.0624,0.06106,0.07233,0.06546,0.05936,0.06205,0.05887,0.06379,0.0566,0.05843,0.05841,0.06685,0.06528,0.05982,0.06022,0.05868,0.05882,0.05589,0.05583,0.05508,0.06093,0.06059,0.06078,0.0473,0.05366,0.04922,0.04919,0.04494,0.05029,0.0491,0.04875,0.04853,0.04744,0.04902,0.05064,0.04192,0.04738,0.04697,0.04539,0.04276,0.0421,0.03969,0.03706,0.03667,0.03429,0.03618,0.03812,0.03699,0.03862,0.03783,0.03869,0.03371,0.03339,0.0327,0.03068,0.03277,0.03068,0.03016,0.02988,0.03073,0.02772,0.02675,0.02694,0.02627,0.02772,0.02494,0.02475,0.02551,0.02463,0.02355,0.02233,0.02588,0.02147,0.02197,0.02027,0.02063,0.01969,0.01961,0.01896,0.01727,0.01747,0.01693,0.01534,0.01591,0.01511,0.01369,0.01402,0.01474,0.01369,0.01214,0.01454,0.01339,0.01267,0.01257,0.01238,0.0116,0.01361,0.01254,0.01166,0.01227,0.01013,0.01122,0.01033,0.00954,0.0097,0.00983,0.01038,0.00927,0.00972,0.00981,0.00878,0.00901,0.00813,0.00892,0.00894,0.0082,0.00828,0.00853,0.00872
